dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.9,0.05,0.9,0.14,0.7,101396.2109375,0.8173681270154634
starling,0.01,0.9,0.05,0.9,0.14,0.8,101616.150390625,0.8213583849931543
starling,0.01,0.9,0.05,0.9,0.14,0.9,102841.083984375,0.8254972230358998
starling,0.01,0.9,0.05,0.9,0.2,0.7,113600.3203125,0.8225176797290725
starling,0.01,0.9,0.05,0.9,0.2,0.8,115104.72265625,0.816978621605289
starling,0.01,0.9,0.05,0.9,0.2,0.9,115745.615234375,0.8128372150481434
starling,0.01,0.9,0.1,0.7,0.1,0.7,93522.16796875,0.7480852478207979
starling,0.01,0.9,0.1,0.7,0.1,0.8,93208.9609375,0.7477466747555908
starling,0.01,0.9,0.1,0.7,0.1,0.9,93009.8046875,0.7477677921499961
starling,0.01,0.9,0.1,0.7,0.14,0.7,93747.841796875,0.7864080721282055
starling,0.01,0.9,0.1,0.7,0.14,0.8,93868.234375,0.788681450684287
starling,0.01,0.9,0.1,0.7,0.14,0.9,93789.306640625,0.7948905550718804
starling,0.01,0.9,0.1,0.7,0.2,0.7,105122.474609375,0.8262414368913492
starling,0.01,0.9,0.1,0.7,0.2,0.8,105270.208984375,0.8325058624391011
